"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"259",60549933,763,2191.94958,120,39,300,56.20383538,"HALIFAX",6
"260",37143504,605,2190.39973,243,21,157,104.304749,"DARTMOUTH",3
"261",39745841,583,2186.4498,248,24,179,91.102075,"HALIFAX",3
"262",59026858,568,2181.84958,109,33,387,66.11665394,"HALIFAX",6
"263",58872376,625,2178.10962,110,51,281,42.70803176,"HALIFAX",6
"264",59567703,1105,2177.24989,109,120,270,18.14374908,"HALIFAX",6
"265",21384385,509,2175.34968,252,21,275,103.58808,"HALIFAX",3
"266",58642267,635,2174.98975,111,119,246,18.27722479,"HALIFAX",6
"267",31829264,953,2173.32875,242,27,194,80.49365741,"HALIFAX",2
"268",58889707,574,2172.8294,114,23,177,94.47084348,"HALIFAX",5
"269",59427891,554,2160.71949,110,42,208,51.44570214,"HALIFAX",1
"270",58246473,551,2158.97971,109,10,321,215.897971,"HALIFAX",5
"271",20697030,574,2153.50957,244,23,272,93.63085087,"HALIFAX",3
"272",23352695,652,2152.05971,243,44,253,48.91044795,"HALIFAX",4
"273",20660110,746,2146.77983,242,34,297,63.14058324,"HALIFAX",4
"274",58528520,564,2145.34934,123,19,302,112.9131232,"HALIFAX",5
"275",23717387,542,2143.3095,243,52,134,41.21749038,"HALIFAX",4
"276",59504641,622,2140.88968,110,33,273,64.87544485,"HALIFAX",5
"277",59003455,504,2138.05955,111,35,265,61.08741571,"HALIFAX",5
"278",22351989,632,2133.17976,246,31,214,68.81225032,"HALIFAX",4
"279",35094805,743,2132.28998,109,89,410,23.95831438,"CORNER BRO",6
"280",59428206,660,2129.24954,109,90,285,23.65832822,"HALIFAX",6
"281",37632766,519,2124.48958,244,22,273,96.56770818,"HALIFAX",3
"282",20846015,590,2124.12972,249,15,370,141.608648,"SUTTON WES",2
"283",39617406,520,2123.03972,248,11,302,193.0036109,"HALIFAX",5
"284",21155028,688,2122.70964,245,26,276,81.64267846,"HALIFAX",4
"285",23748348,624,2117.04985,245,61,326,34.70573525,"HALIFAX",4
"286",23777359,580,2116.86931,243,10,203,211.686931,"NEPEAN",5
"287",61809069,615,2111.75974,109,52,84,40.61076423,"HALIFAX",1
"288",60615674,819,2106.9599,109,145,362,14.53075793,"HALIFAX",6
"289",39356029,640,2103.2996,246,38,272,55.34998947,"HALIFAX",4
"290",40167740,580,2102.34953,244,21,238,100.1118824,"HALIFAX",3
"291",21431603,573,2100.85959,244,45,280,46.68576867,"HALIFAX",4
"292",58489862,572,2099.98957,117,28,323,74.9996275,"HALIFAX",5
"293",58380722,691,2098.27994,113,24,327,87.42833083,"LAWRENCETO",5
"294",22473505,496,2088.98949,242,86,199,24.29057547,"HALIFAX",4
"295",58872751,599,2086.3298,109,72,290,28.97680278,"HALIFAX",6
"296",59646387,591,2085.42972,120,16,325,130.3393575,"HALIFAX",5
"297",59428165,623,2083.78967,114,29,317,71.85481621,"HALIFAX",5
"298",40046066,602,2082.38989,243,27,266,77.12555148,"WELLAND",4
"299",59485466,630,2082.28974,109,42,194,49.57832714,"HERRING CO",1
"300",20784710,554,2082.02967,249,21,297,99.14427,"HALIFAX",3
"301",59578253,691,2078.24983,112,31,368,67.0403171,"HALIFAX",2
"302",58880483,559,2077.83976,119,26,318,79.91691385,"HALIFAX",5
"303",38864422,804,2075.25973,244,102,426,20.34568363,"HALIFAX",6
