"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1645",12514048,1558.12995,242,128,6.32147374,"Pet","Grocery",1
"1646",11624196,1557.64997,315,134,4.912898041,"Other Fruit","Produce",1
"1647",14206602,1557.33985,242,121,6.130041203,"Water","Grocery",1
"1648",11639813,1556.46997,640,241,2.117688671,"Water","Grocery",2
"1649",14995704,1556.37995,358,208,4.147936464,"Internation","Grocery",1
"1650",12822423,1556.20999,448,204,3.343609239,"Chips","Grocery",2
"1651",14543040,1555.98997,292,142,5.14851719,"Frozen Pizz","Frozen Groce",1
"1652",12519833,1555.95998,308,178,4.791042321,"Household O","Grocery",1
"1653",14424686,1555.50996,342,194,4.163021404,"Paper","Grocery",1
"1654",13902664,1555.48,399,170,3.870653266,"Paper","Grocery",1
"1655",13798007,1554.44997,424,213,3.151391493,"Yogurt","Dairy",2
"1656",11742185,1554.31999,1510,835,1.05767282,"Garlic Onio","Produce",2
"1657",14079629,1554.16997,482,255,3.034045631,"Bread Produ","Commercial B",2
"1658",15673360,1553.77882,165,84,9.083508333,"Chicken","Meat",4
"1659",11698825,1553.76966,294,104,3.808865732,"Beef","Meat",1
"1660",11682251,1552.74998,322,177,4.576343727,"Frozen Pizz","Frozen Groce",1
"1661",11666144,1552.56995,292,211,5.13914375,"Oil","Grocery",1
"1662",11660684,1551.62999,415,238,3.423285133,"Pasta","Grocery",2
"1663",11610013,1550.88997,304,107,4.759339901,"Cooked Meal","Home Meal Re",1
"1664",11615343,1550.83999,407,272,3.589497938,"Household O","Grocery",2
"1665",11753859,1549.97998,682,276,2.042254888,"Soft Drinks","Grocery",2
"1666",13789462,1548.49999,339,135,4.55309733,"Cooking Veg","Produce",1
"1667",11642926,1548.47993,542,226,1.751334548,"Baking","Grocery",2
"1668",11656146,1547.41,403,287,3.736940299,"Salad Dress","Grocery",2
"1669",14198816,1546.83998,296,160,5.14753375,"Frozen Ice ","Frozen Groce",1
"1670",11604659,1545.4299,466,241,2.871839773,"Organic Pro","Produce",2
"1671",14345319,1543.57,522,151,2.911017274,"Breads","Instore Bake",2
"1672",11907216,1540.95996,497,277,2.724784246,"Frozen Vege","Frozen Groce",2
"1673",15168533,1540.74942,183,112,8.071518101,"Paper","Grocery",4
"1674",11606786,1540.42997,449,236,3.24769715,"Deli Cheese","Deli",2
"1675",15539172,1540.13996,462,248,3.040461744,"Bread Produ","Commercial B",2
"1676",11922708,1539.41,425,151,3.571929412,"Pickles-Ant","Deli",2
"1677",12804164,1538.43993,301,153,4.77170585,"Cereal","Grocery",1
